id,lga_id,ward_name
6994,624,Isale Oba I
6995,624,Isale Oba II
6996,624,Isale Oba IV
6997,624,Gidigbo I
6998,624,Gidigbo II
6999,624,Gidigbo III
7000,624,Oke-Adan II
7001,624,Oke-Adan I
7002,624,Molete I
7003,624,Molete II
7004,624,Molete III
7005,624,Oke-adan III
7006,625,Ilase/Idominasi
7007,625,Esa-Oke
7008,625,Imesi-Ile
7009,625,Esa - Odo
7010,625,Eesun/Idooko
7011,625,Ibokun
7012,625,Ilahun/Ikinyinwa
7013,625,Ipetu-Ile/Adaowode
7014,625,Ilare
7015,625,Otan-Ile
7016,627,Isero/Ikonifin
7017,627,Asa Ajagunlase
7018,627,Obamoro/Ile Ogo
7019,627,Ajagba/Iwooke
7020,627,Bode-Osi
7021,627,Ikire ile/Iwara
7022,627,Telemu
7023,627,Ogbaagba I
7024,627,Ogbaagba II
7025,627,Asamu/Ilemowu
7026,628,Ilie
7027,628,Oba-Ile
7028,628,Oba Oke
7029,628,Ayetoro
7030,628,Owoope
7031,628,Atelewo
7032,628,Akogun
7033,628,Balogun
7034,628,Owode II
7035,628,Owode I
7036,628,Agowande
7037,629,Iwoye
7038,629,Ijebu-Jesa
7039,629,Ijeda Iloko
7040,629,Erinmo/Iwaraja
7041,629,Erin-Oke
7042,629,Erin-Ijesa
7043,629,Apoti Dagbaja
7044,629,Ira
7045,629,Ikeji-Ile
7046,629,Ijeji Arakeji/Owena
7047,629,Ipetu Ijesa I
7048,629,Ipetu-Ijesa II
7049,630,Olufon Orolu 'J'
7050,630,Olufon Orolu 'F'
7051,630,Olufon Orolu 'I'
7052,630,Olufon Orolu 'A'
7053,630,Olufon Orolu 'E'
7054,630,Olufon Orolu 'C'
7055,630,Olufon Orolu 'B'
7056,630,Olufon Orolu 'D'
7057,630,Olufon Orolu 'H'
7058,630,Olufon Orolu 'G'
7059,616,Oyi
7060,616,Isinmi
7061,616,Ayetoro
7062,616,Aworo/Oke-Ila Rural
7063,616,Balogun
7064,616,Obaale
7065,616,Temidire
7066,616,Akesin
7067,616,Co-Operative
7068,616,Asaoni
7069,626,Asi/Asaba
7070,626,Osolo/Oparin/Ola
7071,626,Oloyan Elemosho / Esa
7072,626,Ijabe/Ila Odo
7073,626,Ekosin/Iyeku
7074,626,Faji/Opete
7075,626,Igbaye
7076,626,Baale
7077,626,Oba Ojomu
7078,626,Ore/Agbeye
7079,626,Okua/Ekusa
7080,626,Jagun Osi Bale Ode
7081,626,Esa Otun Baale Ode
7082,626,Olunisa
7083,626,Olukotun
7084,631,Ataoja 'E'
7085,631,Ataoja 'D'
7086,631,Ataoja 'C'
7087,631,Ataoja 'B'
7088,631,Ataoja 'A'
7089,631,Otun Hagun B
7090,631,Are-Ago
7091,631,Baba Kekere
7092,631,Otun Jagun 'A'
7093,631,Alagba
7094,631,Jagun B'
7095,631,Ekerin
7096,631,Jagun 'A'
7097,631,Eketa
7098,631,Otun Balogun 'A'
7099,612,Oyere - II
7100,612,Ipetumodu I
7101,612,Edunabon II
7102,612,Edunabon I
7103,612,Oyere I
7104,612,Asipa/Akinlalu
7105,612,Famia
7106,612,Ipetumodu II
7107,612,Yakoyo
7108,612,Moro
7109,610,Iremo/Ajebandele
7110,610,Akarabata
7111,610,Iremo II (Eleyele)
7112,610,Iremo III
7113,610,Iremo V
7114,610,Iremo IV
7115,610,Ilare III
7116,610,Ilare IV
7117,610,Moore Ojaja
7118,610,Ilare II
7119,610,Ilare I
7120,619,Biladu
7121,619,Bolorunduro
7122,619,Upper & Lower Ijoka
7123,619,Isare
7124,619,Ilerin
7125,619,Iloro/Roye
7126,619,Itisin/Ogudu
7127,619,Okesa
7128,619,Ijamo
7129,619,Ifosan/Oke-Eso
7130,619,Imo
7131,609,Loogun
7132,609,Oloki/Akoda
7133,609,Sekona
7134,609,Olodan
7135,609,Alajue II
7136,609,Alajue I
7137,609,Babanla/Agate
7138,609,Babasanya
7139,609,Jagun/Jagun
7140,609,Kuye
7141,608,Sabo/Agbongbe II
7142,608,Olusokun
7143,608,Alusekere
7144,608,Asunmo
7145,608,Abogunde/Sagba
7146,608,Sabo/Agbongbe I
7147,608,Apaso
7148,608,Ologun/Agbaakin
7149,608,Olaba/Atapara
7150,608,Bara Ejemu
7151,608,Isibo/Buari-Isola
7152,611,Yekemi
7153,611,Modakeke II
7154,611,Modakeke I
7155,611,Okerewe III
7156,611,Okerewe I
7157,611,Ilode II
7158,611,Ilode I
7159,611,Moore
7160,611,Okerewe II
7161,611,Modakeke III
7162,623,Awala II
7163,623,Oranran Ward
7164,623,Alapomu II
7165,623,Awala I
7166,623,Idogun Ward
7167,623,Asalu (Mogimogi)
7168,623,Oosa Adifa
7169,623,Alapomu I (Odo-Osun)
7170,623,Asalu Ikoyi
7171,623,Osa Ikoyi (Oloke)
7172,623,Olukoyi (Oja-Osun)
7173,621,Elerin 'A'
7174,621,Elerin 'B'
7175,621,Elerin 'C'
7176,621,Elerin 'E'
7177,621,Elerin 'D'
7178,621,Olobu 'D'
7179,621,Olubu 'B'
7180,621,Olobu 'C'
7181,621,Olobu 'A'
7182,621,Bara 'B'
7183,621,Bara 'A'
7184,602,Forest Reserve I
7185,602,Forest reserve II
7186,602,Faforiji
7187,602,Ajebandele
7188,602,Igangan
7189,602,Eti-Oni
7190,602,Ayegunle
7191,602,Iperindo
7192,602,Iwara
7193,602,Ipole
7194,632,Ilora III
7195,632,Fiditi II
7196,632,Ilora II
7197,632,Ilora I
7198,632,Imini
7199,632,Fiditi I
